Date,Quadrat,Blue,Green,Red,NIR,Id,Block,Plot,Rotation,Trt,Canopy,Sev_Jul_27,Sev_Aug_5,Sev_Aug_15,Sev_Aug_22,Sev_Aug_29,Sev_Sep_06,Inc_Jul_27,Inc_Aug_5,Inc_Aug_15,Inc_Aug_22,Inc_Aug_29,Inc_Sep_06,SDS,Shape_Length,Shape_Area,NDVI
7/5/2016,1201,2475,1932,1392,2016,0,1,12,S4,Glyphosate,1201,0,0,0,0,30,50,0,0,0,0,50,70,1,35.4518,78.48268742,0.18
7/5/2016,1201,2499,1935,1361,2047,0,1,12,S4,Glyphosate,1201,0,0,0,0,30,50,0,0,0,0,50,70,1,35.4518,78.48268742,0.2
7/5/2016,1201,2464,1903,1291,2058,0,1,12,S4,Glyphosate,1201,0,0,0,0,30,50,0,0,0,0,50,70,1,35.4518,78.48268742,0.23
7/5/2016,1201,2493,1958,1388,2024,0,1,12,S4,Glyphosate,1201,0,0,0,0,30,50,0,0,0,0,50,70,1,35.4518,78.48268742,0.19
7/5/2016,1201,2499,1956,1354,2048,0,1,12,S4,Glyphosate,1201,0,0,0,0,30,50,0,0,0,0,50,70,1,35.4518,78.48268742,0.2
7/5/2016,1201,2455,1920,1285,2046,0,1,12,S4,Glyphosate,1201,0,0,0,0,30,50,0,0,0,0,50,70,1,35.4518,78.48268742,0.23
7/5/2016,1201,2421,1934,1332,2056,0,1,12,S4,Glyphosate,1201,0,0,0,0,30,50,0,0,0,0,50,70,1,35.4518,78.48268742,0.21
7/5/2016,1201,2426,1936,1307,2066,0,1,12,S4,Glyphosate,1201,0,0,0,0,30,50,0,0,0,0,50,70,1,35.4518,78.48268742,0.23
7/5/2016,1201,2410,1916,1275,2058,0,1,12,S4,Glyphosate,1201,0,0,0,0,30,50,0,0,0,0,50,70,1,35.4518,78.48268742,0.23
7/5/2016,1202,2425,1895,1359,2113,0,1,12,S4,Glyphosate,1202,0,0,0,5,50,60,0,0,0,3.125,7.5,50,1,35.4518,78.4826874,0.22
7/5/2016,1202,2438,1890,1314,2165,0,1,12,S4,Glyphosate,1202,0,0,0,5,50,60,0,0,0,3.125,7.5,50,1,35.4518,78.4826874,0.24
7/5/2016,1202,2453,1894,1279,2168,0,1,12,S4,Glyphosate,1202,0,0,0,5,50,60,0,0,0,3.125,7.5,50,1,35.4518,78.4826874,0.26
7/5/2016,1202,2423,1906,1369,2061,0,1,12,S4,Glyphosate,1202,0,0,0,5,50,60,0,0,0,3.125,7.5,50,1,35.4518,78.4826874,0.2
7/5/2016,1202,2446,1907,1331,2112,0,1,12,S4,Glyphosate,1202,0,0,0,5,50,60,0,0,0,3.125,7.5,50,1,35.4518,78.4826874,0.23
7/5/2016,1202,2429,1889,1269,2135,0,1,12,S4,Glyphosate,1202,0,0,0,5,50,60,0,0,0,3.125,7.5,50,1,35.4518,78.4826874,0.25
7/5/2016,1202,2433,1907,1369,2031,0,1,12,S4,Glyphosate,1202,0,0,0,5,50,60,0,0,0,3.125,7.5,50,1,35.4518,78.4826874,0.19
7/5/2016,1202,2455,1904,1330,2067,0,1,12,S4,Glyphosate,1202,0,0,0,5,50,60,0,0,0,3.125,7.5,50,1,35.4518,78.4826874,0.22
7/5/2016,1202,2440,1889,1274,2088,0,1,12,S4,Glyphosate,1202,0,0,0,5,50,60,0,0,0,3.125,7.5,50,1,35.4518,78.4826874,0.24
7/5/2016,1203,2437,1910,1349,2120,0,1,12,S4,Glyphosate,1203,0,0,0,0,5,10,0,0,0,0,1.875,15,1,35.4518,78.4826874,0.22
7/5/2016,1203,2420,1872,1287,2161,0,1,12,S4,Glyphosate,1203,0,0,0,0,5,10,0,0,0,0,1.875,15,1,35.4518,78.4826874,0.25
7/5/2016,1203,2423,1856,1248,2166,0,1,12,S4,Glyphosate,1203,0,0,0,0,5,10,0,0,0,0,1.875,15,1,35.4518,78.4826874,0.27
7/5/2016,1203,2430,1891,1341,2152,0,1,12,S4,Glyphosate,1203,0,0,0,0,5,10,0,0,0,0,1.875,15,1,35.4518,78.4826874,0.23
7/5/2016,1203,2430,1865,1285,2198,0,1,12,S4,Glyphosate,1203,0,0,0,0,5,10,0,0,0,0,1.875,15,1,35.4518,78.4826874,0.26
7/5/2016,1203,2422,1856,1247,2166,0,1,12,S4,Glyphosate,1203,0,0,0,0,5,10,0,0,0,0,1.875,15,1,35.4518,78.4826874,0.27
7/5/2016,1203,2441,1892,1352,2173,0,1,12,S4,Glyphosate,1203,0,0,0,0,5,10,0,0,0,0,1.875,15,1,35.4518,78.4826874,0.23
7/5/2016,1203,2425,1868,1290,2208,0,1,12,S4,Glyphosate,1203,0,0,0,0,5,10,0,0,0,0,1.875,15,1,35.4518,78.4826874,0.26
7/5/2016,1203,2431,1869,1258,2166,0,1,12,S4,Glyphosate,1203,0,0,0,0,5,10,0,0,0,0,1.875,15,1,35.4518,78.4826874,0.27
7/5/2016,1204,2449,1887,1348,2212,0,1,12,S4,Glyphosate,1204,0,0,0,0,0,30,0,0,0,0,0,4,0,35.4518,78.4826874,0.24
7/5/2016,1204,2429,1859,1298,2279,0,1,12,S4,Glyphosate,1204,0,0,0,0,0,30,0,0,0,0,0,4,0,35.4518,78.4826874,0.27
7/5/2016,1204,2443,1857,1273,2303,0,1,12,S4,Glyphosate,1204,0,0,0,0,0,30,0,0,0,0,0,4,0,35.4518,78.4826874,0.29
7/5/2016,1204,2437,1900,1342,2153,0,1,12,S4,Glyphosate,1204,0,0,0,0,0,30,0,0,0,0,0,4,0,35.4518,78.4826874,0.23
7/5/2016,1204,2446,1892,1318,2215,0,1,12,S4,Glyphosate,1204,0,0,0,0,0,30,0,0,0,0,0,4,0,35.4518,78.4826874,0.25
7/5/2016,1204,2438,1871,1274,2243,0,1,12,S4,Glyphosate,1204,0,0,0,0,0,30,0,0,0,0,0,4,0,35.4518,78.4826874,0.28
7/5/2016,1204,2459,1930,1366,2122,0,1,12,S4,Glyphosate,1204,0,0,0,0,0,30,0,0,0,0,0,4,0,35.4518,78.4826874,0.22
7/5/2016,1204,2435,1891,1308,2178,0,1,12,S4,Glyphosate,1204,0,0,0,0,0,30,0,0,0,0,0,4,0,35.4518,78.4826874,0.25
